Loučeň	-697126.748811	-1027312.26834
Lysá nad Labem	-712470.527482	-1034638.35431
Mcely	-693891.059825	-1025657.81212
Městec Králové	-679514.647843	-1037532.44031
Milčice	-702721.203301	-1045930.07116
Milovice	-708230.694082	-1031239.86448
Odřepsy	-686357.402868	-1043430.34409
Okřínek	-687265.301384	-1041153.51854
Opočnice	-681576.746375	-1041391.21873
Opolany	-685855.553334	-1045853.52176
Oskořínek	-693325.312281	-1032500.52607
Ostrá	-707899.225488	-1037299.84645
Pátek	-689525.56897	-1040911.66339
Pečky	-700124.038352	-1047495.7503
Písková Lhota	-696547.026511	-1044238.79257
Písty	-700867.75782	-1040038.38089
Pňov-Předhradí	-691786.700372	-1050036.29905
Poděbrady	-692711.705896	-1043584.35262
Poříčany	-706923.83657	-1045342.49853
Přerov nad Labem	-712912.471652	-1038611.99988
Ratenice	-697207.939602	-1048549.02147
Rožďalovice	-686047.834153	-1025804.57768
Sadská	-702572.995377	-1042284.07294
Sány	-684098.944453	-1047584.56832
Semice	-709420.31555	-1039265.59285
Senice	-686347.468262	-1039677.92569
